#id,AGE,MURDER TOOL,CLOTHE,SHOES,HEADWEAR,ACCESSORY,JOB,TIME,PLACE,SOUND,TRACE
8805,40s,Wooden Handle Hatchet,Green Hiking Jacket,Red Converse,Short Hair,Drop earrings,Chef,Late Night,Amusement Park Pillar,Crack Knuckles,Fly
8806,20s,Golf Club,Cotton Zip Hoodie,Knee High Wellies,Pink Permed Hair,Skull Shaped Ring,Athlete,Late Night,Shared Office Toilet,Fan Sound,Metal Fragments
8807,50s,Mercury,Logo Printed Sweatshirt,German Army Trainers,Dandy Hairstyle,Engagement Ring,Chef,Morning,Amusement Park Pillar,Fan Sound,Paint Stain
8808,40s,Wooden Handle Hatchet,Ivy League Hoodie,Chess Patteren loafer,Long Hair,Silver Stainless Ring,Engineer,Morning,New Guest House,Digging With Shovel,Bullet
8809,40s,Desert Eagle,Long Sleeve Tshirt,Black Boots,Black Short Babyperm,Thick Chain Nechlace,Actor,Morning,Cafe Terrace,Crack Knuckles,Lipstick Stained Cigarette
8810,30s,Pottassium Chloride,Vest With Slits,Black Converse,Long Bleached hair,Tennis Wristband,Doctor,Morning,Officetel Management Office,Cutting Something,Black Hair
8811,30s,Irregular Shaped Rock,Crop Vest Knit,Ivory Converse,Short Curly Hair,Cross Charm Bracelet,Carpenter,Late Night,Big Old Arboretum,Fan Sound,Chewed Gum
8812,50s,Shinai,Long Field Jacket,Blue Football Boots,High Ponytail,Cross Charm Bracelet,Firefighter,Deep Dawn,Old DVD room,Sand Stepping Barefoot,Glass Fragments
8813,30s,Water,White Tshirt,Blue Football Boots,Two Block Haircut,Engagement Ring,Athletic Trainer,Morning,Lonesome Bus Station,Chewing Gum,Footprint 240mm Loper
8814,20s,Beer Bottle,Grey Fleece Hoodie,Skyblue Flip Flop,Brown Short Babyperm,Black Disposable Mask,Athletic Trainer,Deep Dawn,Amusement Park Pillar,Running Treadmill,Excrements
8815,20s,Wooden Cane,Printed White Tshirt,Ochre Leather Loper,Black Short Babyperm,Tennis Wristband,Athletic Trainer,Around Midnight,Female Outfit Outlet,Digging With Shovel,Used Toilet Paper
8816,20s,Black Handled Scissors,Ivy League Hoodie,Brown Leather Loafer,Short Hair,Skull Shaped Ring,Lawyer,Early Morning,Exquisite Pool Villa,People Having Conversation,Written In Blood
8817,50s,Green Utility Knife,Grey Fleece Hoodie,Black Low Sneakers,Two Block Haircut,Wide Leather Bracelet,Actor,Late Afternoon,Officetel Underground Parkinglot,TV Sports Commentaries,Maggot
8818,40s,Monkey Wrench,Purple Short Cardigan,Ivory Converse,Long Permed Hair,Colorful Bracelets,Actor,Early Morning,Back Seats,Gas Range On,Used Toilet Paper
8819,60s,Fire Poker,Long buttonless Cardigan,Red Football Boots,Two Block Haircut,Skull Shaped Ring,Hotel Receptionist,Night,Members Only Studyroom,People Having Conversation,Empty Cartridge
8820,20s,Heroine,Printed White Tshirt,Red Football Boots,Mid-long Straight Hair,Buddhist Bead Bracelet,Mart Cashier,Morning,Big Square Onstage,Quite Conversation,Maggot
8821,60s,Rusty Pickaxe,Long Padded Coat,Brown Flip Flop,Short Hair,Colorful Bracelets,Mechanic,Early Morning,Underground Grocery Store,Cars On Highway,Glass Fragments
8822,50s,Pottassium Chloride,Undershirt,Black Converse,Cherry Red Hair,Black Backpack,Hair Designer,Night,Room Cafe,People Having Conversation,Headlight
8823,20s,Guillotine Paper Cutter,Vest With Slits,Ivory Converse,Short Permed Hair,Lion Shaped Ring,Janitor,Late Night,Greek Style Pension,Dog Barking,Disposable Lighter
8824,70s,Stainless Sashimi Knife,Long Sleeve Tshirt,Red Football Boots,Buzz cut hair,Drop earrings,Engineer,Morning,Self Service Cafe,Neon Sign Noise,Disposable Lighter
8825,50s,Old Striped Tie,Vest With Slits,Red Football Boots,Long Hippie Perm,Wide Leather Bracelet,Guard,Early Morning,Old Snack Bar,Thermometer Noise,Fibrous Tissues
8826,30s,Irregular Shaped Rock,Jersey Zip Hoodie,Knee High Wellies,Low Ponytail,Chocker Necklace,Mart Cashier,Early Morning,Small Old Supermarket,Bearing Groaning,Written In Blood
8827,30s,Wrapped Knife,Old Denim Jacket,Chess Patteren loafer,Pink Permed Hair,Electronics Anklet,Banker,Morning,Big Old Arboretum,Skid Sounds,Women`s Underwear
8828,70s,Monkey Wrench,Purple Short Cardigan,Red Football Boots,Pomade Hair,Millitary Backpack,Guard,Late Afternoon,Town Hall,Chewing Paper Cup,Black Hair
8829,20s,Ski Pole,Blue Shirt,Chess Patteren loafer,Long Hair,Black Backpack,Engineer,Late Night,Inside Taxi,Dog Barking,Chewed Gum
8830,40s,Pesticide,Printed White Tshirt,Black Converse,High Ponytail,Leg Prosthetics,Athletic Trainer,Late Night,Semi Basement Apartment,Gas Range On,Bullet
8831,20s,Fire Poker,Brown Wool Coat,Red Football Boots,Pomade Hair,Millitary Backpack,Hotel Receptionist,Deep Dawn,Cargo Truck Back,Gas Range On,Cigarette Butts
8832,30s,Flathead Screwdriver,Emerald Coach Jacket,Bare Foot,Perm With Bangs,Millitary Backpack,Banker,Deep Dawn,Underground Grocery Store,Slip and Crash,Crumpled Cigarette Package
8833,20s,Pesticide,Old Denim Jacket,Chess Patteren loafer,Pomade Hair,Black Disposable Mask,Nurse,Late Night,Old Snack Bar,Water Shaking,Maggot
8834,30s,Machine Gun K15,Long Field Jacket,German Army Trainers,Perm With Bangs,Buddhist Bead Bracelet,Sanitation Worker,Late Night,Closed Amusement Park,Draw On Asphalt,Fibrous Tissues
8835,60s,Wooden Handle Cleaver,White Shirt,Black Converse,Two Block Haircut,Gold Cross Necklace,Cleaner,Night,Amusement Park Pillar,Pipe Hitting Wall,Maggot
8836,20s,Irregular Shaped Rock,Green Hiking Jacket,Suede Boat shoes,Mid-long Curly Hair,Wide Leather Bracelet,Chef,Late Afternoon,Closed Amusement Park,Dishwasher Sound,Black Hair
8837,40s,Porcelain Pot,Pilot Bomber Jacket,German Army Trainers,Short Hair,Electronics Anklet,Sanitation Worker,Late Afternoon,Cafe Terrace,Quite Conversation,Lipstick Stained Cigarette
8838,40s,Wooden Board,Long Field Jacket,Black Leather Loafer,High Ponytail,Thick Chain Nechlace,Mechanic,Late Night,Private English Academy,Crack Knuckles,Women`s Underwear
8839,30s,Pottassium Chloride,Grey Knit Shirt,Strapped Leather Sandal,Natural Two Block,Colorful Bracelets,Sanitation Worker,Late Night,Self Service Cafe,Digging With Shovel,Fibrous Tissues
8840,20s,Walther PPK .32ACP,Yellow Short Cardigan,Logo Printed Slider,Two Block Haircut,Cross Charm Bracelet,Hair Designer,Deep Dawn,Fire Escape Building,People Having Conversation,Scorch Mark
8841,30s,Red Brick,Long buttonless Cardigan,German Army Trainers,Short Hair,Black Disposable Mask,Athletic Trainer,Morning,Haunted House,Running Treadmill,Glass Fragments
8842,20s,Sulfuric Acid,Grey Hiking Jacket,White Stained Boots,Natural Two Block,Colorful Bracelets,Mart Cashier,Early Morning,Single Corridor Apartment,Phone Alarm Ringing,Feather
8843,30s,Machine Gun K15,Crop Vest Knit,Black Low Sneakers,Comma Hairstyle,Cross Charm Bracelet,Engineer,Morning,Room Cafe,Counting Money,Different Soil
8844,20s,Beer Bottle,Cotton Zip Hoodie,White Platform Sneakers,Pink Permed Hair,Lion Shaped Ring,Athlete,Deep Dawn,Officetel Underground Parkinglot,Sand Stepping Barefoot,Different Soil
8845,20s,Studded Dirty Knuckle,Printed White Tshirt,Black Low Sneakers,Pomade Hair,Engagement Ring,Mechanic,Deep Dawn,Famous Traditional Market,Draw On Asphalt,Fingerprints
8846,20s,Mechanical Pencil,Purple Short Cardigan,Ochre Leather Loper,Comma Hairstyle,Wide Leather Bracelet,Athletic Trainer,Morning,Amusement Park Pillar,Fan Sound,Arson Attempt
8847,50s,Black Belt,Varsity Jacket,Brown Leather Loafer,Short Permed Hair,Chocker Necklace,Firefighter,Night,Haunted House,Spit On Ground,Black Powder
8848,30s,Thick Rubber Wire,Long buttonless Cardigan,Cherry Colored Boots,Two Block Haircut,Skull Shaped Ring,Mechanic,Late Night,Semi Basement Apartment,Cutting Something,Feather
8849,30s,Thick Rubber Wire,Stripe Tshirt,Strapped Leather Sandal,High Ponytail,Wide Leather Bracelet,Athlete,Deep Dawn,Amusement Park Pillar,Hammering Sound,Light Brown Hair
8850,40s,Charging Cable,Yellow Short Cardigan,Logo Printed Slider,Perm With Bangs,Buddhist Bead Bracelet,Sanitation Worker,Morning,Lonesome Bus Station,Propeller Sound,Crumpled Cigarette Package
8851,50s,Glacial Acetic Acid,Undershirt,Ivowy Suede Moccasin,Long Hippie Perm,Skull Shaped Ring,Janitor,Late Afternoon,Members Only Studyroom,Twisting Jaw joint,Fibrous Tissues
8852,50s,Wood Branch,Blue Shirt,Strapped Leather Sandal,Brown Short Babyperm,Buddhist Bead Bracelet,Chef,Early Morning,Self Service Cafe,Twisting Jaw joint,Cigarette Butts
8853,40s,Pottassium Chloride,Blue Shirt,Chess Patteren loafer,Pomade Hair,Black Disposable Mask,Nurse,Night,Famous Traditional Market,People Having Conversation,Body Hair
8854,30s,Muscaria Mushroom,Long Padded Coat,Strapped Leather Sandal,Bob With Bangs,Cross Charm Bracelet,Sanitation Worker,Late Night,SUV Back Seats,TV Sports Commentaries,Chewed Gum
8855,70s,Heavy Glass Ashtray,Jersey Zip Hoodie,Red Football Boots,Mid-long Ponytail,Leon Sunglasses,Athletic Trainer,Night,Members Only Studyroom,Water Shaking,Women`s Underwear
8856,30s,Wooden Cane,Grey Fleece Hoodie,Ivory Converse,Brown Short Babyperm,Buddhist Bead Bracelet,Chef,Morning,Lecture Hall,Chewing Gum,Glass Fragments
8857,20s,Yellow Box Cutter,Cotton Zip Hoodie,White Platform Sneakers,Two Block Haircut,Chocker Necklace,Professor,Deep Dawn,Shared Office Toilet,Birds Singing,Women`s Underwear
8858,70s,Wrapped Blowfish Sashimi,Bulletproof Vest,Brown Leather Loafer,Pixie Cut,Leon Sunglasses,Engineer,Morning,Greek Style Pension,Remote Air Conditioner,Used Toilet Paper
8859,50s,Piano Wire,Grey Knit Shirt,Blue Football Boots,Long Layered Hair,Thick Chain Nechlace,Janitor,Late Night,Amusement Park Pillar,Dog Barking,Crumpled Cigarette Package
8860,30s,Shinai,Logo Printed Windbreaker,Black Boots,Short Hair,Tennis Wristband,Chef,Morning,Inside Taxi,Throw Up Blood,Arson Attempt
8861,50s,Wrapped Knife,Green Hiking Jacket,Ivowy Suede Moccasin,Long Hair,Skull Shaped Ring,Chef,Early Morning,Female Outfit Outlet,Computer Mouse Clicking,Empty Cartridge
8862,40s,Old Striped Tie,Grey Fleece Hoodie,Bare Foot,Long Hair,Eyebrow Piercing,Athletic Trainer,Night,School Reunions,Skid Sounds,Written In Blood
8863,70s,Wrapped Blowfish Sashimi,Stripe Tshirt,Blue Colored Boots,Pixie Cut,Thick Glasses,Actor,Late Night,Big Old Arboretum,Crack Knuckles,Fibrous Tissues
8864,20s,Wodden Handle Shovel,Long buttonless Cardigan,Knee High Wellies,Mid-long Straight Hair,Thick Chain Nechlace,Janitor,Morning,Night Mountain,People Having Conversation,Light Brown Hair
8865,20s,Iron Coping Saw,Crop Vest Knit,Chess Patteren loafer,Perm With Bangs,Buddhist Bead Bracelet,Cleaner,Deep Dawn,Old DVD room,Water Flowing Sound,Ripped Cloth
8866,70s,Irregular Shaped Rock,Grey Hiking Jacket,White Platform Sneakers,Short Permed Hair,Millitary Backpack,Doctor,Morning,Sashimi Restaurant,Twisting Jaw joint,Arson Attempt
8867,40s,Pry Bar,Brown Wool Coat,Cherry Colored Boots,Comma Hairstyle,Electronics Anklet,Firefighter,Deep Dawn,Shared Office Toilet,Finger Snap,Disposable Lighter
8868,40s,Desert Eagle,Vest With Slits,Ivory Converse,Matilda Bob,Engagement Ring,Sanitation Worker,Late Night,Sashimi Restaurant,Bearing Groaning,Weapon Without Fingerprint
8869,70s,Wooden Board,Yellow Short Cardigan,Black Converse,Comma Hairstyle,Black Backpack,Athletic Trainer,Night,Shared Office Toilet,Gas Range On,Lipstick Stained Cigarette
8870,60s,Sulfuric Acid,Pilot Bomber Jacket,Black Dress Shoes,Mid-long Hair,Buddhist Bead Bracelet,Nurse,Late Night,Airbnb With Host,Whistle,Different Soil
8871,20s,Poisoned Cool-Aid,Short Padded Coat,Chess Patteren loafer,Natural Two Block,Engagement Ring,Chef,Night,PC cafe,Toilet Flush Sound,Headlight
8872,40s,Rusty Shotgun,Crop Vest Knit,Black Low Sneakers,Pink Permed Hair,Black Backpack,Guard,Morning,Small Cafe,Cars On Highway,Weapon With Fingerprint
8873,40s,Hydrochloric Acid,Emerald Coach Jacket,White Basketball Shoes,Pomade Hair,Electronics Anklet,Actor,Morning,Old Snack Bar,Irregular Walking Sound,Black Hair
8874,20s,Monkey Wrench,Lace Blouse,White Basketball Shoes,Mid-long Curly Hair,Electronics Anklet,Soldier,Late Night,Old Studio Apartment,Spit On Ground,Nail Tips
8875,20s,Green Utility Knife,Long buttonless Cardigan,German Army Trainers,Black Short Babyperm,Tennis Wristband,Cleaner,Early Morning,Shared Office Toilet,Remote Air Conditioner,Written In Blood
8876,50s,White Silk Curtain,Emerald Coach Jacket,Cherry Colored Boots,Comma Hairstyle,Colorful Bracelets,Janitor,Late Night,Airbnb With Host,Digging With Shovel,Fingerprints
8877,20s,Thick Rubber Wire,Purple Short Cardigan,Ivowy Suede Moccasin,Short Hair,Buddhist Bead Bracelet,Director,Early Morning,Subway Station Entrance,Bearing Groaning,Black Powder
8878,60s,Submachine Gun AR-18,Stripe Turtleneck Knit,Black Converse,Short Hair,Engagement Ring,Guard,Early Morning,Big Square Onstage,Irregular Walking Sound,Black Wig Hair
8879,30s,Yellow Box Cutter,Long Sleeve Tshirt,Suede Boat shoes,Two Block Haircut,Drop earrings,Doctor,Night,Inn Near Brothel,Strong Wind,Light Brown Hair
8880,20s,Wooden Cane,White Shirt,Ivory Converse,Long Layered Hair,Cross Charm Bracelet,Sanitation Worker,Morning,Famous Traditional Market,Thermometer Noise,Black Hair
8881,20s,Climbing Rope,Pilot Bomber Jacket,Black Long Boots,Two Block Haircut,Lip Piercing,Chef,Early Morning,Single Corridor Apartment,Chewing Paper Cup,Footprint 270mm Sneakers
8882,20s,Studded Dirty Knuckle,Long Field Jacket,Suede Boat shoes,Long Blonde hair,Charm Earrings,Nurse,Early Morning,Closed Amusement Park,Whistle,Bullet
8883,20s,Charging Cable,Stripe Tshirt,Bare Foot,Long Layered Hair,Electronics Anklet,Director,Night,Hostel (Normal Dorm),Gas Range On,Excrements
8884,40s,Piano Wire,Long buttonless Cardigan,Blue Football Boots,High Ponytail,Millitary Backpack,Mart Cashier,Morning,Messy Club,Chewing Paper Cup,Excrements
8885,30s,Broken Beer Bottle,Logo Printed Windbreaker,Ochre Leather Loper,Pink Permed Hair,Thick Chain Nechlace,Guard,Night,SUV Passenger Seat,Sound of Chainsaw,Fibrous Tissues
8886,40s,Thick Rubber Wire,Emerald Coach Jacket,Ivowy Suede Moccasin,Short Permed Hair,Drop earrings,Nurse,Early Morning,Underground Grocery Store,Hazy Music,Irregular Footprints
8887,20s,Aluminum Baseball Bat,Printed Black Tshirt,Black Low Sneakers,Two Block Haircut,Black Disposable Mask,Director,Late Night,Small Old Supermarket,Whistle,Women`s Underwear
8888,20s,Yellow Box Cutter,Ivy League Hoodie,Knee High Wellies,Two Block Haircut,Millitary Backpack,Banker,Late Night,Semi Basement Apartment,Counting Money,Black Hair
8889,40s,Sniper Gun ULR338,Green Hiking Jacket,Blue Football Boots,Cherry Red Hair,Millitary Backpack,Chef,Late Night,University Hospital,Twisting Jaw joint,Weapon With Fingerprint
8890,20s,Green Utility Knife,Stripe Tshirt,Chess Patteren loafer,Perm With Bangs,Tennis Wristband,Professor,Deep Dawn,Hostel (Normal Dorm),Birds Singing,Women`s Underwear
8891,40s,Red Brick,Logo Printed Sweatshirt,Black Converse,Mid-long Curly Hair,Buddhist Bead Bracelet,Professor,Deep Dawn,Messy Dumpster Alley,People Having Conversation,Irregular Footprints
8892,40s,Wodden Handle Shovel,Stripe Tshirt,Bare Foot,Pomade Hair,Skull Shaped Ring,Sanitation Worker,Night,Town Hall,Whistle,Lipstick Stained Cigarette
8893,50s,Pottassium Chloride,China Collar Shirt,Black Chelsea Boots,Bob With Bangs,Hand Prothetics,Model,Late Night,Broken Street Lamp,Electric Fan Sound,Women`s Underwear
8894,70s,Fire Poker,Vest With Slits,Strapped Leather Sandal,Long Brown hair,Tennis Wristband,Soldier,Night,Small Theater Onstage,Breaking Bone,Lipstick Stained Cigarette
8895,50s,Pesticide,Blue Shirt,Knee High Wellies,Brown Short Babyperm,Thick Chain Nechlace,Janitor,Late Night,Airbnb With Host,Neon Sign Noise,Crumpled Cigarette Package
8896,30s,Heavy Glass Ashtray,Logo Printed Windbreaker,German Army Trainers,Long Hippie Perm,Leg Prosthetics,Hotel Receptionist,Early Morning,Closed Amusement Park,Strong Wind,Solid Blood
8897,50s,Bottle of Propofol,Crop Vest Knit,Bare Foot,Pink Permed Hair,Buddhist Bead Bracelet,Soldier,Late Night,Officetel Underground Parkinglot,Water Flowing Sound,Black Wig Hair
8898,50s,Monkey Wrench,White Shirt,White Running Shoes,Comma Hairstyle,Buddhist Bead Bracelet,Professor,Deep Dawn,Famous Traditional Market,Chewing Paper Cup,Excrements
8899,20s,Glacial Acetic Acid,Jersey Zip Hoodie,Blue Football Boots,Pixie Cut,Lip Piercing,Soldier,Late Night,Big Square Backstage,Chewing Gum,Tape Recorded Voice
8900,50s,Rusty Shotgun,Printed White Tshirt,Blue Colored Boots,Brown Short Babyperm,Thick Chain Nechlace,Actor,Around Midnight,Officetel Underground Parkinglot,Cutting Something,Written In Blood
8901,20s,Thick Rubber Wire,Crop Vest Knit,Black Converse,Bob With Bangs,Tennis Wristband,Mart Cashier,Night,Blackout Parking Lot,Sand Stepping Barefoot,Written In Blood
8902,20s,Soju Bottle,Green Hiking Jacket,White Platform Sneakers,Short Curly Hair,Engagement Ring,Mart Cashier,Late Night,Officetel Staircase,Twisting Jaw joint,Excrements
8903,50s,Machine Gun K15,Blue Shirt,Ochre Leather Loper,High Ponytail,Nose Piercing,Model,Deep Dawn,Semi Basement Apartment,Chewing Paper Cup,Crumpled Cigarette Package
8904,20s,Wooden Baseball Bat,Old Denim Jacket,White Basketball Shoes,Bob With Bangs,Cross Charm Bracelet,Guard,Early Morning,Small Theater Onstage,Sound of Wave,Feather
8905,30s,Wooden Crutch,Grey Fleece Hoodie,German Army Trainers,Pomade Hair,Buddhist Bead Bracelet,Professor,Early Morning,Hostel (Normal Dorm),Chewing Paper Cup,Skid Mark
8906,30s,Wooden Crutch,Undershirt,Chess Patteren loafer,Bob With Bangs,Tennis Wristband,Athletic Trainer,Morning,Messy Club,Twisting Jaw joint,Disposable Lighter
8907,70s,Computer Monitor,Printed White Tshirt,Red Football Boots,Two Block Haircut,Engagement Ring,Guard,Early Morning,Old DVD room,Bearing Groaning,Used Toilet Paper
8908,30s,Venomous Snake Cage,Logo Printed Windbreaker,Red Converse,Pomade Hair,Electronics Anklet,Athletic Trainer,Early Morning,Messy Dumpster Alley,Plastic Beating Sound,Used Toilet Paper
8909,60s,Bass Guitar,Grey Fleece Hoodie,Black Long Boots,Brown Short Babyperm,Tennis Wristband,Athletic Trainer,Night,Franchise Pub,Cars On Highway,Chewed Gum
8910,20s,Pottassium Chloride,Long Field Jacket,White Running Shoes,Long Brown hair,Leg Prosthetics,Soldier,Late Afternoon,Dormitory High School,Backpack Stuff Shaking,Nail Tips
8911,50s,Submachine Gun K16,Cotton Zip Hoodie,Strapped Leather Sandal,Short Hair,Tennis Wristband,Mart Cashier,Early Morning,Messy Goshiwon,Neon Sign Noise,Footprint 245mm Highheels
8912,50s,Green Utility Knife,Long Sleeve Tshirt,German Army Trainers,Natural Two Block,Eyebrow Piercing,Actor,Deep Dawn,Dormitory High School,Cutting Something,Written In Blood
8913,70s,Aluminum Baseball Bat,Grey Fleece Hoodie,Brown Flip Flop,Long Curly Hair,Lip Piercing,Doctor,Late Night,SUV Back Seats,Backpack Stuff Shaking,Paint Stain
8914,20s,Thick Rubber Wire,Khaki Tshirt,Strapped Leather Sandal,Long Brown hair,Wide Leather Bracelet,Chef,Night,New Guest House,Irregular Walking Sound,Weapon With Fingerprint
8915,30s,Green Paring Knife,Crop Vest Knit,White Running Shoes,Mid-long Curly Hair,Wide Leather Bracelet,Professor,Morning,Officetel Elevator,Chewing Paper Cup,Chewed Gum
8916,40s,Fire Axe,Stripe Turtleneck Knit,Brown Leather Loafer,Pink Permed Hair,Silver Stainless Ring,Firefighter,Morning,Semi Basement Apartment,Washing Machine Sound,Glass Fragments
8917,30s,Teracotta Pot,Long Field Jacket,White Running Shoes,Pixie Cut,Wide Leather Bracelet,Nurse,Deep Dawn,Messy Dumpster Alley,Chewing Gum,Lipstick Without Fingerprint
8918,50s,Bereta APX,Undershirt,German Army Trainers,Long Black Hair,Leg Prosthetics,Model,Morning,Luxury Club,Reading Buddhist Text,Cigarette Butts
8919,30s,Rusty Shotgun,Emerald Coach Jacket,Red Converse,Long Bleached hair,Skull Shaped Ring,Athlete,Deep Dawn,Custom Camping Car,Counting Money,Feather
8920,40s,Walther PPK .32ACP,Printed White Tshirt,White Platform Sneakers,Short Permed Hair,Tennis Wristband,Cleaner,Morning,Members Only Studyroom,Twisting Jaw joint,Women`s Underwear
8921,50s,Green Paring Knife,Emerald Coach Jacket,Bare Foot,Black Short Babyperm,Buddhist Bead Bracelet,Homeless,Morning,Shared Office Toilet,Whistle,Fibrous Tissues
8922,40s,Flathead Screwdriver,Grey Knit Shirt,Blue Football Boots,Brown Short Babyperm,Thick Chain Nechlace,Engineer,Night,Underground Grocery Store,Propeller Sound,Disposable Lighter
8923,50s,Wooden Handle Hatchet,Green Hiking Jacket,Brown Leather Loafer,Low Ponytail,Buddhist Bead Bracelet,Nurse,Morning,Deep Forest,Plastic Beating Sound,Cigarette Butts
8924,30s,Surgical Blade,Old Denim Jacket,Skyblue Flip Flop,Pink Permed Hair,Colorful Bracelets,Soldier,Night,Old Snack Bar,Cutlery Falling down,Scorch Mark
8925,20s,Transparent Vodka Bottle,Vest With Slits,Chess Patteren loafer,Natural Two Block,Millitary Backpack,Lawyer,Morning,Inside Camping Car,Running Treadmill,Fibrous Tissues
8926,20s,Red Brick,Cotton Zip Hoodie,Strapped Leather Sandal,Long Hair,Thick Chain Nechlace,Guard,Night,Inn Near Brothel,Irregular Walking Sound,Chewed Gum
8927,20s,Wooden Handle Hatchet,Jersey Zip Hoodie,White Basketball Shoes,Mid-long Curly Hair,Cross Charm Bracelet,Guard,Deep Dawn,Ecological Park,Sound of Wave,Excrements
8928,30s,Golf Club,Blue Shirt,White Stained Boots,Pomade Hair,Thick Chain Nechlace,Chef,Late Night,Passenger Seat,Phone Alarm Ringing,Women`s Underwear
8929,60s,Machine Gun K15,Luxury Brown Shearing,Black Low Sneakers,Mid-long Curly Hair,Chocker Necklace,Soldier,Late Night,Fire Escape Building,Cat Meow,Nail Tips
8930,40s,Surgical Blade,Cotton Zip Hoodie,Ivory Converse,Long Hair,Thick Chain Nechlace,Cleaner,Morning,Old Guest House,People Having Conversation,Maggot
8931,30s,Metal Pipe,Purple Short Cardigan,Suede Boat shoes,Cherry Red Hair,Gold Cross Necklace,Mart Cashier,Deep Dawn,Major Bank,Hammering Sound,Glass Fragments
8932,70s,Irregular Shaped Rock,Crop Vest Knit,German Army Trainers,Long Permed Hair,Lion Shaped Ring,Sanitation Worker,Deep Dawn,Self Service Bar,Skid Sounds,Nail Tips
8933,50s,Red Chainsaw,Grey Fleece Hoodie,Blue Football Boots,Natural Two Block,Millitary Backpack,Mechanic,Night,Inside Taxi,Chewing Paper Cup,Bullet
8934,40s,Old Striped Tie,Khaki Tshirt,Old Leather Oxford,Short Hair,Colorful Bracelets,Cleaner,Early Morning,Messy Goshiwon,Water Flowing Sound,Disposable Lighter
8935,30s,Porcelain Pot,White Tshirt,Thigh High Wellies,Comma Hairstyle,Engagement Ring,Sanitation Worker,Night,Motel in Backstreet,Finger Snap,Bullet
8936,30s,Aluminum Baseball Bat,Undershirt,Blue Colored Boots,Long Permed Hair,Buddhist Bead Bracelet,Athletic Trainer,Morning,Inn Near Brothel,Computer Mouse Clicking,Women`s Underwear
8937,20s,Red Chainsaw,Grey Hiking Jacket,Chess Patteren loafer,Natural Two Block,Engagement Ring,Mart Cashier,Morning,Major Bank,Cutting Something,Glass Fragments
8938,20s,Rusty Shotgun,Long buttonless Cardigan,Ochre Leather Loper,Comma Hairstyle,Thick Glasses,Engineer,Night,Old Studio Apartment,Cars On Highway,Black Hair
8939,60s,Pry Bar,Emerald Coach Jacket,Chess Patteren loafer,Mid-long Curly Hair,Millitary Backpack,Mechanic,Night,Big Old Arboretum,People Having Conversation,Puppa Maggot
8940,40s,Wrapped Blowfish Sashimi,Long Field Jacket,Red Converse,Pomade Hair,Thick Chain Nechlace,Firefighter,Early Morning,Messy Club,Hammering Sound,Skid Mark
8941,30s,Rusty Shotgun,Grey Hiking Jacket,Black Converse,Pink Permed Hair,Gold Cross Necklace,Sanitation Worker,Early Morning,Cafe Terrace,Fan Sound,Body Hair
8942,60s,Blue Plastic Nipper,Short Padded Coat,Suede Boat shoes,Pomade Hair,Skull Shaped Ring,Mart Cashier,Late Afternoon,University Hospital,Bearing Groaning,Fly
8943,40s,Soju Bottle,Lace Blouse,Ivowy Suede Moccasin,Short Hair,Leg Prosthetics,Cleaner,Morning,Amusement Park Pillar,Dog Barking,Black Wig Hair
8944,60s,Potassium Cyanide,Undershirt,Black Dress Shoes,Long Brown hair,Colorful Bracelets,Chef,Night,Back Seats,Grind one`s Teeth,Bullet
8945,30s,Stained Handsaw,Black Tshirt,Red Football Boots,Long Hair,Leg Prosthetics,Nurse,Late Night,Messy Goshiwon,Dog Barking,Fingerprints
8946,20s,Beer Bottle,Long Sleeve Tshirt,White Platform Sneakers,Two Block Haircut,Drop earrings,Hotel Receptionist,Morning,Famous Traditional Market,Pipe Hitting Wall,Footprint 245mm Highheels
8947,30s,Studded Dirty Knuckle,Vest With Slits,Ivowy Suede Moccasin,High Ponytail,Black Backpack,Director,Morning,Lecture Hall,Irregular Walking Sound,Feather
8948,30s,Flathead Screwdriver,Luxury Trench Coat,Blue Football Boots,Bald Hair,Thick Glasses,Soldier,Late Night,Old Studio Apartment,Cars On Highway,Used Toilet Paper
8949,50s,Teracotta Pot,Stripe Turtleneck Knit,Black Leather Loafer,Two Block Haircut,Silver Stainless Ring,Actor,Late Night,Messy Club,Cutting Something,Cigarette Butts
8950,50s,Round Edged Stone,Jersey Zip Hoodie,Cherry Colored Boots,Natural Two Block,Drop earrings,Chef,Late Night,Haunted House,Propeller Sound,Note By Suspect
8951,40s,Hydrochloric Acid,Long Padded Coat,Red Football Boots,Perm With Bangs,Stud Earrings,Nurse,Late Night,5 Star hotel,Skid Sounds,Paint Stain
8952,40s,Sport Towel,Jersey Zip Hoodie,Bare Foot,Mid-long Ponytail,Charm Earrings,Sanitation Worker,Night,Small Old Supermarket,Dishwasher Sound,Crumpled Cigarette Package
8953,30s,Studded Dirty Knuckle,Luxury Brown Shearing,Black Low Sneakers,Long Curly Hair,Lion Shaped Ring,Model,Early Morning,Convinience Store Table,Computer Mouse Clicking,Used Toilet Paper
8954,40s,Cordless Drill,Ivy League Hoodie,Brown Leather Loafer,Long Permed Hair,Tennis Wristband,Mart Cashier,Morning,Old DVD room,Birds Singing,Footprint 245mm Highheels
8955,30s,Sharp Edged Stone,Grey Fleece Hoodie,White Running Shoes,Long Hair,Wide Leather Bracelet,Janitor,Late Night,Old DVD room,Grind one`s Teeth,Crumpled Cigarette Package
